"","Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"3735","DARS2",1496.04811037849,0.249714373587341,0.089435386810988,2.79212046250871,0.00523638577248681,0.00778049400675855
"3736","DAW1",1.76107587830181,1.71550001573022,0.416510879007662,4.11873999502102,3.809496827801e-05,7.183997742532e-05
"3737","DAXX",2489.16784453752,0.181750046920655,0.0540425926235725,3.36308896552417,0.000770755203485534,0.00126380307485674
"3738","DAZAP1",4864.05797609556,0.491561461143462,0.0699424422775953,7.02808545335748,2.09386655288243e-12,7.10850092142493e-12
"3739","DAZAP2",10219.5001841003,-0.563046534282342,0.0552814428938703,-10.1850911410414,2.31143195649967e-24,1.76675067211315e-23
"3740","DAZL",2.94673979101004,0.306494205435448,0.350460445804927,0.874547210974125,0.381820321542573,0.427300415254644
"3741","DBF4",732.21008445577,1.1354010631276,0.102246399803879,11.1045578651711,1.19205838170413e-28,1.17932229444238e-27
"3742","DBF4B",361.77191107558,1.16537733321747,0.0979448741098851,11.8982983418818,1.20784942484482e-32,1.4920855130949e-31
"3743","DBH",10.9143348735003,0.153914892193194,0.279056031408737,0.551555511687733,0.581252923913063,0.623332754330391
"3744","DBI",5439.60913388125,-0.152236094053198,0.0929686010501555,-1.637500105773,0.101526016857925,0.125811556362042
"3745","DBN1",1825.43249400765,0.34631238060007,0.162330918886037,2.13337288408499,0.0328941496286962,0.0439755396746525
"3746","DBNDD1",840.826783746391,2.49324892707601,0.155001155836566,16.0853570002078,3.23183963528215e-58,1.9099383990948e-56
"3747","DBNDD2",284.660109224495,-0.570063404035517,0.108325395439123,-5.2625093287186,1.42102451407586e-07,3.32762622991034e-07
"3748","DBNL",5078.36422999509,0.0708617746798268,0.0819342548691768,0.864861403731208,0.387114863905452,0.432431847075997
"3749","DBP",338.407718993807,-0.35934512097988,0.127599920121804,-2.81618609664377,0.00485975075989505,0.00724944878087775
"3750","DBR1",599.362218110822,0.390057373346144,0.0614119996328581,6.35148465573568,2.13246689868687e-10,6.26082241104863e-10
"3751","DBT",793.891568351919,-0.493279892690541,0.0833661181248698,-5.91703084881177,3.27805229498473e-09,8.82804778901811e-09
"3752","DCAF10",1299.44568228329,0.106888985023221,0.0596730340410574,1.79124434915907,0.0732540922265521,0.0928458121547266
"3753","DCAF11",3006.87775823791,-0.756779297344088,0.0633032036600347,-11.954834093521,6.12557876491207e-33,7.75342846505027e-32
"3754","DCAF12",2490.23852618015,0.0616788346769916,0.0582309006114523,1.05921141574893,0.289503507214662,0.332381302773159
"3755","DCAF13",2322.6122091526,1.31853673720584,0.103551408068154,12.7331608696043,3.86854748262916e-37,6.38894195256798e-36
"3756","DCAF15",1414.5634151706,0.759531561283449,0.103085145700902,7.36800201541359,1.7320417037664e-13,6.41983377132471e-13
"3757","DCAF16",1334.46137974179,0.544820637756144,0.0763425464576046,7.13652691764349,9.5718569249764e-13,3.33775216497789e-12
"3758","DCAF17",577.703413161512,0.216980483642307,0.0710359087363956,3.05451830633281,0.00225422256636853,0.00349806669242238
"3759","DCAF4",564.205450228547,0.309391525930022,0.0831963782134249,3.71881003204653,0.000200163511087494,0.000348918120406474
"3760","DCAF4L1",9.42004045159453,1.36144144106085,0.18585178140101,7.32541507430204,2.38160410782952e-13,8.72260575964081e-13
"3761","DCAF5",1403.52773437375,-0.599954920777879,0.0586463710788118,-10.2300433895838,1.45454195363113e-24,1.12599206186844e-23
"3762","DCAF6",1907.53068341388,-0.519463745298959,0.0683411730835554,-7.60103641568827,2.93768422706937e-14,1.14674481416165e-13
"3763","DCAF7",5296.62412137688,0.0155045661602229,0.0651718418070819,0.237902838562068,0.811956453861867,0.836670316764953
